page,role,writes_data,write_api,primary_tables,reads_data,read_api,external_api,risk
/admin/line-opening/practical-competency,운영 인스턴스 생성,yes,"POST /api/admin/cluster4/competency-lines;POST /api/admin/cluster4/competency/opening;POST /api/admin/cluster4/competency/applications;PATCH /api/admin/cluster4/competency/applications/[id];DELETE /api/admin/cluster4/competency/applications/[id];DELETE /api/admin/cluster4/competency-line-masters/[id];POST /api/admin/cluster4/cafe-comments;PATCH /api/admin/cluster4/lines/[id];POST /api/admin/cluster4/lines/[id]/workflow","cluster4_competency_applications;cluster4_lines;cluster4_line_targets;cluster4_competency_week_output;cluster4_competency_opening_logs;process_point_awards;user_weekly_points",yes,"GET /api/admin/cluster4/competency/applications;GET /api/admin/cluster4/competency/opening-status;GET /api/admin/cluster4/competency-line-masters;GET /api/admin/cluster4/competency/opening-logs;GET /api/admin/cluster4/lines;GET /api/admin/cluster4/crews;GET /api/admin/cluster4/cafe-line-crew","/api/cluster4/weekly-cards;/api/cluster4/lines/detail",HIGH
/admin/line-opening/practical-career,운영 인스턴스 생성,yes,"POST /api/admin/cluster4/career-lines;POST /api/admin/cluster4/career-evaluations;PATCH /api/admin/career-projects/[id]/sponsor-meta;DELETE /api/admin/career-projects/[id];PATCH /api/admin/cluster4/lines/[id];POST /api/admin/cluster4/lines/[id]/workflow","cluster4_lines;cluster4_line_targets;cluster4_career_line_evaluations;career_projects",yes,"GET /api/admin/cluster4/career-line-options;GET /api/admin/career-projects;GET /api/admin/cluster4/lines;GET /api/admin/cluster4/crews",/api/cluster4/weekly-cards,MEDIUM
/admin/line-opening/line-history,조회·검증,no,,"cluster4_lines;cluster4_line_targets",yes,GET /api/admin/cluster4/lines/history,,LOW
/admin/processes/check/info,상태 전이,yes,"POST /api/admin/processes/check;POST /api/admin/processes/check/rollback;POST /api/admin/processes/check/recollect;POST /api/admin/qa/run-now/process-check-row","process_check_statuses;process_check_logs;process_check_review_recipients;process_point_awards;user_weekly_points;qa_run_now_log",yes,"GET /api/admin/processes/check;GET /api/admin/cluster4/cafe-line-crew","/api/cluster3/club-rank;/api/cluster3/stats-cards;/api/cluster4/weekly-cards",HIGH
/admin/processes/check/club,상태 전이,yes,"POST /api/admin/processes/check;POST /api/admin/processes/check/rollback;POST /api/admin/processes/check/recollect;POST /api/admin/qa/run-now/process-check-row","process_check_statuses;process_check_logs;process_check_review_recipients;process_point_awards;user_weekly_points;qa_run_now_log",yes,"GET /api/admin/processes/check;GET /api/admin/cluster4/cafe-line-crew","/api/cluster3/club-rank;/api/cluster3/stats-cards;/api/cluster4/weekly-cards",HIGH
/admin/processes/check/experience,상태 전이,yes,"POST /api/admin/processes/check;POST /api/admin/processes/check/rollback;POST /api/admin/processes/check/recollect;POST /api/admin/qa/run-now/process-check-row","process_check_statuses;process_check_logs;process_check_review_recipients;process_point_awards;user_weekly_points;qa_run_now_log",yes,"GET /api/admin/processes/check;GET /api/admin/cluster4/cafe-line-crew","/api/cluster3/club-rank;/api/cluster3/stats-cards;/api/cluster4/weekly-cards",HIGH
/admin/processes/check/competency,상태 전이,yes,"POST /api/admin/processes/check;POST /api/admin/processes/check/rollback;POST /api/admin/processes/check/recollect;POST /api/admin/qa/run-now/process-check-row","process_check_statuses;process_check_logs;process_check_review_recipients;process_point_awards;user_weekly_points;qa_run_now_log",yes,"GET /api/admin/processes/check;GET /api/admin/cluster4/cafe-line-crew","/api/cluster3/club-rank;/api/cluster3/stats-cards;/api/cluster4/weekly-cards",HIGH
/admin/processes/check/irregular,결과·실적 입력,yes,"POST /api/admin/processes/check/irregular;DELETE /api/admin/processes/check/irregular;POST /api/admin/processes/check/irregular/rollback;POST /api/admin/processes/check/recollect","process_irregular_acts;process_check_review_recipients;process_point_awards;user_weekly_points",yes,"GET /api/admin/processes/check/irregular;GET /api/admin/processes/check/irregular/targets","/api/cluster3/club-rank;/api/cluster4/weekly-cards",HIGH
/admin/rest-management,상태 전이,yes,"PATCH /api/admin/rest-management/[id];DELETE /api/admin/rest-management/[id];POST /api/admin/rest-management/approve-all;POST /api/admin/rest-management/emergency","vacation_requests;process_check_review_recipients;process_irregular_acts",yes,"GET /api/admin/rest-management/list;GET /api/admin/rest-management/summary;GET /api/admin/rest-management/emergency/context;GET /api/admin/rest-management/emergency/crews","/api/cluster4/weekly-cards;/api/cluster1/resume",HIGH
/admin/season-participations,상태 전이,yes,PATCH /api/admin/season-participations/[user_season_status_id],user_season_statuses,yes,GET /api/admin/season-participations,"/api/cluster1/resume;/api/cluster3/club-rank",HIGH
/admin/week-recognitions,상태 전이,yes,"PATCH /api/admin/week-recognitions/[user_week_status_id];PATCH /api/admin/weeks/[week_id]/publish-result;PATCH /api/admin/weeks/[week_id]/review-result;PATCH /api/admin/weeks/[week_id]/check-threshold","user_week_statuses;weeks",yes,GET /api/admin/week-recognitions,"/api/cluster4/weekly-cards;/api/cluster1/resume;/api/cluster3/stats-cards",HIGH
/admin/weekly-card-finalization,상태 전이,yes,"POST /api/admin/weekly-card-finalization/finalize;POST /api/admin/weekly-card-finalization/revert","weeks;user_week_statuses;cluster4_weekly_card_snapshots",yes,"GET /api/admin/weekly-card-finalization/preview;GET /api/cluster4/weekly-cards",/api/cluster4/weekly-cards,HIGH
/admin/team-parts/info/weeks/[weekId],상태 전이,yes,"POST /api/admin/team-parts/info/weeks/[weekId]/review;DELETE /api/admin/team-parts/info/weeks/[weekId]/review;POST /api/admin/team-parts/info/weeks/[weekId]/open-confirm;POST /api/admin/team-parts/info/weeks/[weekId]/recognition-preview","cluster4_week_opening_configs;cluster4_week_opening_config_versions;user_week_statuses;user_weekly_points;process_point_awards",yes,"GET /api/admin/team-parts/info/weeks/[weekId];GET /api/admin/team-parts/info/weeks/[weekId]/act-check-management;GET /api/admin/team-parts/info/weeks/[weekId]/line-opening-management;GET /api/admin/team-parts/info/weeks/[weekId]/review-readiness","/api/cluster4/weekly-cards;/api/cluster3/club-rank",HIGH
/admin/club-progress/weekly/[weekId],상태 전이,yes,"POST /api/admin/team-parts/info/weeks/[weekId]/review;DELETE /api/admin/team-parts/info/weeks/[weekId]/review;POST /api/admin/team-parts/info/weeks/[weekId]/open-confirm;POST /api/admin/team-parts/info/weeks/[weekId]/recognition-preview","cluster4_week_opening_configs;cluster4_week_opening_config_versions;user_week_statuses;user_weekly_points;process_point_awards",yes,"GET /api/admin/team-parts/info/weeks/[weekId];GET /api/admin/team-parts/info/weeks/[weekId]/act-check-management;GET /api/admin/team-parts/info/weeks/[weekId]/line-opening-management;GET /api/admin/team-parts/info/weeks/[weekId]/review-readiness","/api/cluster4/weekly-cards;/api/cluster3/club-rank",HIGH
/admin/team-parts/info/weeks,조회·검증,no,,"cluster4_lines;cluster4_line_targets;weeks",yes,GET /api/admin/team-parts/info/weeks,,LOW
/admin/club-progress/weekly,조회·검증,no,,"cluster4_lines;cluster4_line_targets;weeks",yes,GET /api/admin/team-parts/info/weeks,,LOW
/admin/team-parts/info,조회·검증,no,,"cluster4_team_halves;cluster4_team_parts;user_memberships;user_profiles",yes,"GET /api/admin/team-parts/info;GET /api/admin/team-parts/info/summary",,LOW
/admin/team-parts/info/[clubId],관계·배정,yes,DELETE /api/admin/team-parts/info,"cluster4_team_halves;cluster4_team_parts",yes,"GET /api/admin/team-parts/info;GET /api/admin/team-parts/info/summary;GET /api/admin/team-parts/crew-lookup",,MEDIUM
/admin/team-parts/info/[clubId]/[teamHalfId],관계·배정,yes,"PATCH /api/admin/team-parts/info/team-detail/week-position;POST /api/admin/team-parts/info/team-detail/parts","cluster4_team_week_position_overrides;cluster4_team_parts;cluster4_weekly_card_snapshots",yes,"GET /api/admin/team-parts/info/team-detail;GET /api/admin/team-parts/info/team-detail/week-summary",/api/cluster4/weekly-cards,HIGH
/admin/team-parts/info/crew-week-results,조회·검증,no,,"weeks;cluster4_week_opening_configs",yes,GET /api/admin/team-parts/info/crew-week-results,,LOW
/admin/team-parts/info/crew-week-results/[organizationSlug],조회·검증,no,,"weeks;cluster4_week_opening_configs",yes,GET /api/admin/team-parts/info/crew-week-results,,LOW
/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],상태 전이,yes,POST /api/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],"cluster4_week_org_result_states;cluster4_week_finalize_runs;cluster4_week_finalize_run_crew_results;cluster4_week_finalize_run_team_results",yes,GET /api/admin/team-parts/info/crew-week-results/[organizationSlug]/[weekId],/api/cluster4/weekly-cards,HIGH
/admin/members,조회·검증,no,,"user_profiles;user_memberships;cluster4_roster_card_stats;cluster4_weekly_card_snapshots",yes,"GET /api/admin/members/roster;GET /api/admin/members/info-stats;GET /api/admin/season-weeks",,MEDIUM
/admin/crews/[organization],조회·검증,no,,"user_profiles;user_memberships;cluster4_roster_card_stats;cluster4_weekly_card_snapshots",yes,"GET /api/admin/members/roster;GET /api/admin/members/info-stats;GET /api/admin/season-weeks",,MEDIUM
/admin/members/[userId],복합 역할,yes,"PATCH /api/admin/members/[user_id];PUT /api/admin/members/[user_id]/note","user_profiles;crew_management_notes;user_role_audit;user_growth_status_audit",yes,GET /api/admin/members/[user_id],/api/cluster4/weekly-cards,MEDIUM
/admin/members/[userId]/weekly-status,조회·검증,no,,"user_week_statuses;user_growth_stats;user_weekly_points;weeks",yes,GET /api/admin/users/[user_id]/weekly-status,,MEDIUM
/admin/members/[userId]/weeks/[weekId],결과·실적 입력,yes,"PUT /api/admin/members/[user_id]/weeks/[week_id]/lines/[line_id];POST /api/admin/members/[user_id]/weeks/[week_id]/lines/[line_id]/close;PATCH /api/admin/members/[user_id]/weeks/[week_id]/lines/[line_id]/second-entry;POST /api/admin/members/[user_id]/weeks/[week_id]/lines/second-entry/bulk;POST /api/admin/members/[user_id]/weeks/[week_id]/acts/cancel;POST /api/admin/members/[user_id]/weeks/[week_id]/acts/supplement;POST /api/admin/members/[user_id]/weeks/[week_id]/experience-lines;POST /api/admin/members/[user_id]/weeks/[week_id]/competency-lines;POST /api/admin/members/[user_id]/weeks/[week_id]/lines/[line_id]/upload-image;PUT /api/admin/members/[user_id]/note","cluster4_lines;cluster4_line_targets;cluster4_line_submissions;cluster4_line_enhancement_overrides;cluster4_line_second_entry_overrides;cluster4_experience_line_evaluations;cluster4_career_line_evaluations;process_irregular_acts;process_point_awards;user_weekly_points;crew_management_notes",yes,"GET /api/admin/members/[user_id]/weeks/[week_id];GET /api/admin/members/[user_id]/weeks/[week_id]/acts;GET /api/admin/members/[user_id]/weeks/[week_id]/lines;GET /api/admin/members/[user_id]/weeks/[week_id]/lines/[line_id];GET /api/admin/members/[user_id]/weeks/[week_id]/competency-lines;GET /api/admin/members/[user_id]/weeks/[week_id]/experience-lines","/api/cluster4/weekly-cards;/api/cluster4/weekly-line-enhancement;/api/cluster4/lines/detail",HIGH
/admin/crews/[organization]/[legacy_user_id],결과·실적 입력,yes,PATCH /api/admin/crews/[legacy_user_id]/resume-card,"user_profiles;user_memberships;user_introductions;user_resume_card_settings",yes,"GET /api/admin/crews/[legacy_user_id]/resume-card;GET /api/admin/crews/[legacy_user_id]/resume-card/resume;GET /api/admin/settings/site/resume-card;GET /api/admin/settings/organizations/[organization]/resume-card",/api/cluster1/resume,HIGH
/admin/crews/[organization]/[legacy_user_id]/cluster2,결과·실적 입력,yes,PATCH /api/admin/crews/[legacy_user_id]/cluster2,"user_cluster2;user_introductions;user_educations;user_profiles",yes,GET /api/admin/crews/[legacy_user_id]/cluster2,/api/review-link,MEDIUM
/admin/crews/[organization]/[legacy_user_id]/cluster3,복합 역할,yes,"PATCH /api/admin/crews/[legacy_user_id]/cluster3;POST /api/admin/crews/[legacy_user_id]/cluster3/growth/rank/sync","portfolio_channel_cards;portfolio_top_cards;user_grade_stats",yes,"GET /api/admin/crews/[legacy_user_id]/cluster3;GET /api/admin/crews/[legacy_user_id]/cluster3/growth;GET /api/admin/crews/[legacy_user_id]/cluster3/growth/rank","/api/cluster3/club-rank;/api/cluster3/stats-cards",HIGH
/admin/crews/[organization]/[legacy_user_id]/cluster4,결과·실적 입력,yes,"PATCH /api/admin/crews/[legacy_user_id]/cluster4;DELETE /api/admin/crews/[legacy_user_id]/cluster4;PATCH /api/admin/edit-windows/[user_id]","season_reputations;weekly_reputations;weekly_reviews;weekly_colleagues;user_season_histories;user_edit_windows",yes,"GET /api/admin/crews/[legacy_user_id]/cluster4;GET /api/admin/crews/[legacy_user_id]/cluster4/weekly-growth","/api/weekly-reputations;/api/cluster4/weekly-cards;/api/edit-windows/permission",HIGH
/admin/users/app-users,관계·배정,yes,PATCH /api/admin/user-profiles/[user_id]/organization,"user_profiles;organizations",yes,"GET /api/admin/app-users;GET /api/admin/organizations",/api/members/find,HIGH
/admin/users/applicants,상태 전이,yes,"POST /api/admin/applicants/[id]/approve-new;POST /api/admin/applicants/[id]/approve-existing;POST /api/admin/applicants/[id]/reject;POST /api/admin/applicants/approve-all;PATCH /api/admin/user-profiles/[user_id]/organization","applicants;user_profiles;users;auth_accounts",yes,"GET /api/admin/applicants;GET /api/admin/user-profiles/search;GET /api/admin/app-users",/api/members/find,HIGH
/admin/operation-health-check,집계·파생,yes,POST /api/admin/operation-health-check/recalculate-growth-stats,user_growth_stats,yes,GET /api/admin/operation-health-check,/api/cluster1/resume,MEDIUM
/admin/test-users,조회·검증,yes,"POST /api/admin/qa/run-now/user-snapshot;POST /api/admin/qa/run-now/snapshot-batch","cluster4_weekly_card_snapshots;qa_run_now_log",yes,"GET /api/admin/test-users;GET /api/admin/qa/run-now/logs",/api/cluster4/weekly-cards,MEDIUM
